phrasal	meaning	significado	phrase	frase
turn out		terminar, resultar	She has gone through a tough time, but everything turned out fine.	Ela passou por um período difícil, mas tudo terminou bem.
turn out		acontecer de ser no final	He turned out to be an old friend of Helen's.	
turn out		chegar a um encontro ou reunião ou formar uma multidão	Thousands of fans turned out to welcome the team.	
turn out that		ter um resultado específico, especialmente um que você não esperava	It turned out that I was wrong.	
turn out to		acontecer de ser no final das contas	The girl in red turned out to be Maria's sister.	
turn over		virar o corpo	Turn over onto your back.	Vire-se de costas.
turn over		virar a face de algo	Turn the burgers over.	Vire os hambúrgueres.
turn over		mudar de canal	It was too scary to watch so we turned over.	Era muito assustador de assistir, então mudamos de canal.
turn over		virar o oposto, girar de cima para baixo		
turn round		rodar, girar a volta do centro		
turn up		aumentar volume, música, calor	Turn up the heat/volume.	Aumente o aquecimento/volume.
turn up		chegar	She turned up late again.	Ela chegou atrasada de novo.
turn up		aparecer inesperadamente, surgir uma oportunidade	I'm sure a job will turn up soon.	Tenho certeza que logo vai aparecer um trabalho.
turn up		chegar ou ser descoberto por acaso	Guess who turned up at our party? Your old friend Martin!	
turn up		ser descoberto por acaso	Don't worry about that missing book, it's bound to turn up sooner or later.	
turn up		chegar inesperadamente	Not many people turned up for the lesson.	
walk away		retirar de uma situação problemática		
wash out		remover algo lavando		
wear off		perder o efeito	When the drugs begin to wear off, you may feel some pain.	
wear off		perder o efeito, especialmente uma droga	These painkillers wear off after about two hours.	
work out		exercitar-se, malhar	They've been working out everyday in order to lose weight.	Eles têm se exercitado todos os dias para perder peso.
work out		calcular, resolver, trabalhar	I can't work out the answer to this maths problem.	Não consigo descobrir a resposta para esse problema de matemática.
work out		encontrar uma solução, resolver	Don't worry about the money you owe. We'll work something out.	Não se preocupe com o dinheiro que você deve. Nós vamos resolver alguma coisa.
work out		lidar com um problema, ter sucesso, ter um final feliz	I'm sure that everything will work out fine in the end.	
work out		dar um resultado, funcionar	I never planned to become a lawyer, that's just how it worked out.	Eu nunca planejei me tornar um advogado, é assim que funcionou.
work out		resultar num total	The hotel bill worked out at over 500.	A conta do hotel totalizou a mais de 500.
work out		acumular um total	After all the taxes and fees, your bill works out to $350.	Depois de todos os impostos e taxas, a sua conta totalizou em 350.
work out		trabalhar numa solução, resolver algo	I think we can work out a solution to this problem.	Acho que podemos trabalhar numa solução para este problema.
work out		realizar algo por trabalho ou esforço	The mathematician worked out the answer over several days.	O matemático elaborou a resposta durante dias severos.
work out		encontrar uma solução	They hoped to work out their personal differences	Eles esperavam resolver suas diferenças pessoais.
work out		provar ser sucedido ou efetivo	I wonder if their marriage will work out.	Me pergunto se o casamento deles será bem sucedido.
work out		exaurir recursos, usar tudo, consumir tudo de uma mina	This mine has been completely worked out.	Esta mina foi completamente trabalhada.
