phrasal	meaning	significado	phrase	frase	position
grind up	Reduce to small pieces.	Reduzir em pequenos pedaços.	She ground the beans up and made some coffee.	acho muito difícil moer um ensaio original a cada semana.	3374
gross out	To be disgusted with someone or something.	Estar enojado com alguém ou algo assim.	he used to eat worms to gross her out	ele costumava comer vermes para a enojar	3375
grow apart	stop being friends over time	parar de ser amigo ao longo do tempo	My best friend and I grew apart after she changed schools.	Minha melhor amiga e eu nos separamos depois que ela mudou de escola.	3376
grow apart	To get distant from someone, like a friend	se distanciar de alguém, como um amigo	When my friend moved to a different country, I tried to stay close with her, but we slowly grew apart.	Quando minha amiga se mudou para um país diferente, tentei ficar perto dela, mas lentamente nos separamos.	3377
grow apart	stop being friends over time		My best friend and I grew apart after she changed schools.	Minha melhor amiga e eu nos separamos depois que ela mudou de escola.	3378
grow apart	Become distant, stop having a close relationship because time, distance, interests, etc, have changed.	Tornar-se distante, parar de ter um relacionamento próximo, porque a hora, a distância, os interesses, etc, mudaram.	We used to be good friends at school but have since grown apart.	Nós costumávamos ser bons amigos na escola, mas desde então cresceram.	3379
grow apart	Stop having a close relationship with somebody over a period of time	Parar de ter um relacionamento próximo com alguém durante um período de tempo			3380
grow away from	Become less friendly with.	Tornar-se menos amigável com.	I have grown away from many of the people I grew up with.	cresci longe de muitas das pessoas que eu cresci.	3381
grow back	regrow	crescer novamente	My roses grew back this summer.	Minhas rosas cresceram novamente neste verão.	3382
grow back	regrow		My roses grew back this summer.	Minhas rosas cresceram novamente neste verão.	3383
grow back	Grow again.	Crescer novamente.	Nails grow back quickly after you cut them.	As unhas crescem rapidamente depois de cortá-las.	3384
grow from	Result from a process.	Resultar de um processo.	a lot grew from the peace talks.	Muito cresceu das negociações de paz.	3385
grow into	grow big enough to fit	crescer grande o suficiente para caber	This bike is too big for him now, but he should grow into it by next year.	Esta bicicleta é muito grande para ele agora, mas ele deve crescer o suficiente no próximo ano.	3386
grow into	Grow to fit large clothes.	Crescer para encaixar roupas grandes.	The jacket's a bit big, but she'll grow into it.	A jaqueta é um pouco grande, mas ela vai crescer nela.	3387
grow into	Mature or change into.	Maduro ou mudar para dentro.	She's has grown into a lovely person.	Ela cresceu em uma pessoa adorável.	3388
grow into	Develop or change over time to fit something.	Desenvolver ou mudar ao longo do tempo para caber alguma coisa.	It may seem difficult at first, but you will grow into the job.	Pode parecer difícil no começo, mas você crescerá no trabalho.	3389
grow into something	grow big enough to fit		This bike is too big for him now, but he should grow into it by next year.	Esta bicicleta é muito grande para ele agora, mas ele deve crescer o suficiente no próximo ano.	3390
grow on	Like something that you didn't like at first.	Comer algo que você não gostou no começo.	The painting has grown on me; I used to ate it.	A pintura cresceu em mim; Eu costumava comer isso.	3391
grow on	Have a greater influence or degree of acceptance.	Ter uma maior influência ou grau de aceitação.	The plans sounded strange at first, but they have grown on me.	Os planos pareciam estranhos no começo, mas eles cresceram em mim.	3392
grow on	Become gradually more evident.	Tornar-se gradualmente mais evidente.	a feeling of distrust of them grew on me.	Um sentimento de desconfiança deles cresceu em mim.	3393
grow out of	get too big for	ficar grande demais para	Elizabeth needs a new pair of shoes because she has grown out of her old ones.	Elizabeth precisa de um novo par de sapatos porque ela cresceu muito para os antigos.	3394
grow out of	To become too big or too tall for your clothes.	Se tornar grande ou alto demais para suas roupas.	He grew out of those shoes in no time at all.	Ele cresceu desses sapatos em pouco tempo.	3395
grow out of	Grow too large for clothes.	Crescer muito para caber nas roupas.	He grew out of those shoes in no time at all.	Ele cresceu desses sapatos em pouco tempo.	3396
grow out of	Lose interest as you grow older or become more mature.	Perder interesse à medida que você envelhece ou se torna mais maduro.	He was obsessed with computer games but the he grew out of them.	Ele estava obcecado por jogos de computador, mas ele cresceu deles.	3397
grow out of	Result or develop from.	Resultar ou desenvolver.	The idea for the film grew out of an accident that happened to the director.	A ideia do filme cresceu de um acidente que aconteceu com o diretor.	3398
grow out of	To become too big or too tall for your clothes.	Se tornar grande ou alto demais para suas roupas.	He grew out of those shoes in no time at all.	Ele cresceu desses sapatos em pouco tempo.	3399
grow out of something	get too big for		Elizabeth needs a new pair of shoes because she has grown out of her old ones.	Elizabeth precisa de um novo par de sapatos porque ela cresceu muito para os antigos.	3400
grow to	Eventually do something.	Eventualmente fazer alguma coisa.	We grew to like the neighbourhood.	Nós crescemos para gostar do bairro.	3401
grow together	Gradually become attached, united or close.	Gradualmente tornar-se ligado, unido ou próximo.	We grew together while we were working on the same project.	Nós crescemos enquanto trabalhamos no mesmo projeto.	3402
grow up	become an adult	tornar-se um adulto	When Jack grows up he wants to be a fireman.	Quando Jack se tornar adulto, ele quer ser bombeiro.	3403
grow up	To tell someone to stop acting childish	Dizer a alguém para parar de agir como infantil	Some people tell Steve he needs to grow up, but he loves acting like a child.	Algumas pessoas dizem a Steve que ele precisa crescer, mas ele adora agir como uma criança.	3404
grow up	When you physically change from a child to an adult.	Quando você muda fisicamente de uma criança para um adulto.	He grew up in the West Country.	Ele cresceu no país oeste.	3405
grow up	become an adult		When Jack grows up he wants to be a fireman.	Quando Jack se tornar adulto, ele quer ser bombeiro.	3406
grow up	Mature, become adult.	amadurecer, tornar-se adulto.	He grew up in the West Country.	Ele cresceu no país oeste.	3407
grow up	Arise, emerge.	Surgir, emergir.	The industry grew up very quickly.	A indústria cresceu muito rapidamente.	3408
grow up	Develop in a place or for a reason (city, town, etc).	Desenvolver em um lugar ou por um motivo (cidade, cidade, etc).	The town GREW UP as a trading post.	A cidade cresceu como um post comercial.	3409
grow up	When you physically change from a child to an adult.	Quando você muda fisicamente de uma criança para um adulto.	He grew up in the West Country.	Ele cresceu no país oeste.	3410
grow up	Mature and become an adult	Amadurecer e se tornar um adulto			3411
grow up	Start to develop; to flourish	Comece a se desenvolver; florescer			3412
grow up	Stop acting as or like a child	Pare de agir como ou como uma criança			3413
grow up	Develop into an adult	Tornar-se um adulto			3414
grow up on	Do or have something when you are a child.	Fazer ou ter algo quando você é criança.	We grew up on cartoons.	A indústria cresceu muito rapidamente.	3415
grow upon	Like something that you didn't like at first.	Gostar de algo que você não gostou no começo.	The book started slowly and was a bit dull, but it has grown upon me.	O livro começou devagar e foi um pouco aborrecido, mas cresceu em cima de mim.	3416
grow upon	Have a greater influence or degree of acceptance.	Ter uma maior influência ou grau de aceitação.	As we got nearer the date of the meeting, their idea grew upon me.	Como chegamos mais perto da data da reunião, sua ideia cresceu em cima de mim.	3417
grow upon	Become gradually more evident.	Tornar-se gradualmente mais evidente.	a feeling of distrust of them grew upon me.	Um sentimento de desconfiança deles cresceu sobre mim.	3418
gun for	Try to destroy an opponent.	Tentar destruir um adversário.	He's gunning for his rivals at work.	Ele está atirando por seus rivais no trabalho.	3419
gussy up	Dress smartly or improve the appearance of something.	Vistar de forma inteligente ou melhorar a aparência de algo.	They spent a fortune gussying up the house.	Eles passaram uma fortuna girando a casa.	3420
hack around	Waste time.	Perder tempo.	I've been hacking around all around morning because I can't get down to doing any revision.	Eles passaram uma fortuna girando a casa.	3421
hack into	Break into a computer system.	Invadir um sistema de computador.	He hacked into the government database and stole a lot of data.	Ele invadiu o banco de dados do governo e roubou muitos dados.	3422
hack off	Annoy.	irritar, incomodar, aborrecer	He hacks me off with his endless complaining.	Ele me abranha com sua interminável reclamando.	3423
hack up	Chop or cut into small pieces.	Picar ou cortar em pequenos pedaços.	They hacked the table up and burnt it.	Eles cortaram a mesa e queimavam.	3424
hack up	Expel by coughing.	Expelir com tosse.	I hacked up a lot of phlegm while I was ill.	invadi muita fleuma enquanto estava doente.	3425
ham up	Perform or act in an excessive way to attract attention or amuse people.	Executar ou agir de maneira excessiva para atrair atenção ou divertir as pessoas.	He hammed the part up to get the audience to laugh.	Ele bateu a parte para pegar a platéia a rir.	3426
hammer away at	Work relentlessly.	Trabalhar implacavelmente.	She hammered away at her pc all night and finished the project.	Ela martelou para o PC a noite toda e terminou o projeto.	3427
hammer into	Repeat something over a period of time to make someone remember it.	Repetir algo ao longo de um período de tempo para fazer alguém se lembrar disso.	He hammered the rules into me.	Ele martelou as regras para mim.	3428
hammer out	Negotiate and reach an agreement.	Negociar e chegar a um acordo.	They hammered out their differences and got the contract signed.	Eles martelam suas diferenças e conseguiram o contrato assinado.	3429
hand back	When you return something to the person who owns it after the person has given it to you	Quando você devolve algo à pessoa que o possui depois que a pessoa o entrega	The police officer checked my licence, then handed it back.	O policial verificou minha licença, depois entregou de volta.	3430
hand back	Return.	retorno, regresso	The police officer checked my licence, then handed it back.	O policial verificou minha licença, depois entregou de volta.	3431
hand back	When you return something to the person who owns it after the person has given it to you	Quando você devolve algo à pessoa que o possui depois que a pessoa o entrega	The police officer checked my licence, then handed it back.	O policial verificou minha licença, depois entregou de volta.	3432
hand down	give something used to somebody else	dar algo usado para outra pessoa	I handed my old comic books down to my little cousin.	Eu dei meus antigos livros em quadrinhos para meu priminho.	3433
hand down	Pass on to the next generation.	Passar para a próxima geração.	The jewellery has been handed down in my family for generations.	A joalharia foi transmitida na minha família por gerações.	3434
hand down	Give a formal decision.	Dar uma decisão formal.	The court handed down its ruling yesterday.	O tribunal transmitiu a sua decisão ontem.	3435
hand in	submit	enviar	I have to hand in my essay by Friday.	Eu tenho que entregar meu ensaio até sexta-feira.	3436
hand in	To give something to a person of authority.	Dar algo a uma pessoa de autoridade.	I handed my homework in late as usual.	entreguei minha lição de casa tarde como de costume.	3437
hand in	Submit work for appraisal.	Enviar trabalho para avaliação.	I handed my homework in late as usual.	entreguei minha lição de casa tarde como de costume.	3438
hand in	To give something to a person of authority.	Dar algo a uma pessoa de autoridade.	I handed my homework in late as usual.	entreguei minha lição de casa tarde como de costume.	3439
hand in	Give something to a responsible person	Dê algo a uma pessoa responsável			3440
hand in	Give something to a person in authority	Dar algo a uma pessoa com autoridade			3441
hand in	Give your finished work to a teacher	Entregar seu trabalho finalizado a um professor			3442
hand off	Pass or transfer	Passe ou transfira			3443
hand on	Give to someone else.	Dar a outra pessoa.	I handed the job on to a colleague.	entreguei minha lição de casa tarde como de costume.Eu entreguei minha lição de casa tarde como de costume....Eu entreguei a lição de casa no final da mesma maneira....Can't load full resultsTry againRetrying...Retrying...	3444
hand on	Transmit knowledge to the next generation.	Transmitir conhecimento para a próxima geração.	The secrets have been handed on from generation to generation.	Os segredos foram entregues de geração para geração.	3445
hand out	to distribute to a group of people	distribuir para um grupo de pessoas	We will hand out the invitations at the door.	Vamos distribuir os convites na porta.	3446
hand out	To distribute or give	Distribuir ou dar	The teacher hands out worksheets to the students.	O professor distribui planilhas para os alunos.	3447
hand out	To distribute something free to other people.	Distribuir algo gratuito para outras pessoas.	The teacher handed out the worksheet to the class.	O professor entregou a planilha para a aula.	3448
hand out	Distribute.	distribuir	The teacher handed out the worksheet to the class.	O professor entregou a planilha para a aula.	3449
hand out	To distribute something free to other people.	Distribuir algo gratuito para outras pessoas.	The teacher handed out the worksheet to the class.	O professor entregou a planilha para a aula.	3450
hand out	give things to the members of a group	Dar coisas aos membros de um grupo			3451
hand over	give (usually unwillingly)	dar ( geralmente de má vontade )	The police asked the man to hand over his wallet and his weapons.	A polícia pediu ao homem que entregasse sua carteira e suas armas.	3452
hand over	To give upon request or demand.	Dar mediante solicitação ou demanda.	The robbers told the clerk to hand over all the money.	Os ladrões disseram ao funcionário para entregar todo o dinheiro.	3453
hand over	Give.	Dar.	The robbers told the clerk to hand over all the money.	Os ladrões disseram ao funcionário para entregar todo o dinheiro.	3454
hand over	To give upon request or demand.	Dar mediante solicitação ou demanda.	The robbers told the clerk to hand over all the money.	Os ladrões disseram ao funcionário para entregar todo o dinheiro.	3455
hand over	Relinquish control or possession of something to someone 	Ceder o controle ou a posse de algo a alguém			3456
hand round	Pass something to everyone in a group	Passar algo para todos em um grupo			3457
hand something down	give something used to somebody else		I handed my old comic books down to my little cousin.	Eu dei meus antigos livros em quadrinhos para meu priminho.	3458
hand something in	submit		I have to hand in my essay by Friday.	Eu tenho que entregar meu ensaio até sexta-feira.	3459
hand something out	to distribute to a group of people		We will hand out the invitations at the door.	Vamos distribuir os convites na porta.	3460
hand something over	give (usually unwillingly)		The police asked the man to hand over his wallet and his weapons.	A polícia pediu ao homem que entregasse sua carteira e suas armas.	3461
hang about	To linger or wait around	ficar ou esperar	He likes to hang about in the park after school.	Ele gosta de ficar no parque depois da escola.	3462
hang about	Spend time somewhere not doing much.	Passar tempo em algum lugar sem fazer muita coisa.	They hang about the station most of the day.	Eles penduram sobre a estação a maior parte do dia.	3463
hang about	Stop what you're doing and pay attention to me.	Parar com o que você está fazendo e prestar atenção em mim.	hang about! We're not allowed to do this.	Pendure sobre! Nós não estamos autorizados a fazer isso.	3464
hang about	Stay, linger or loiter	Ficar, demorar ou vadiar			3465
hang about	Spend time or be friends	Passar algum tempo ou ser amigo			3466
hang around	To spend time in a place without any specific purpose	passar o tempo em um lugar sem qualquer propósito específico	We used to hang around the mall when we were teenagers.	Costumávamos andar pelo shopping quando éramos adolescentes.	3467
hang around	To spend time in a place or an area.	Passar um tempo em um lugar ou área.	They hang around the station most of the day.	Eles penduram a estação a maior parte do dia.	3468
hang around	Stay in a place.	Ficar em um lugar.	They hang around the station most of the day.	Eles penduram a estação a maior parte do dia.	3469
hang around	To spend time in a place or an area.	Passar um tempo em um lugar ou área.	They hang around the station most of the day.	Eles penduram a estação a maior parte do dia.	3470
hang back	Not move forwards to avoid doing something.	Não se mover para frente para evitar fazer alguma coisa.	When they raced towards the entrance, I hung back till it was less crowded.	Quando eles correram para a entrada, eu pendurei de volta até que fosse menos lotado.	3471
hang back from	Delay or avoid doing something.	Atrasar ou evitar fazer alguma coisa.	They were hanging back from making the final decision.	Eles estavam pendendo de volta de tomar a decisão final.	3472
hang in	stay positive (informal)	permanecer positivo ( informal )	Hang in there. I'm sure you'll find a job very soon.	Mantenha-se firme.Tenho certeza que você encontrará um emprego muito em breve.	3473
hang in	stay positive (informal)		Hang in there. I'm sure you'll find a job very soon.	Mantenha-se firme.Tenho certeza que você encontrará um emprego muito em breve.	3474
hang in there	Persevere, not give up.	Perseverar, não desistir.	Were were doing badly, but we hung in there till we finished.	Estavam fazendo mal, mas penduramos lá até termos terminado.	3475
hang it up	Retire, quit.	Retirar-se, sair.	I'm getting too old for this- I'm going to hang it up starting next month.	estou ficando velho demais para isso - eu vou pendurar a partir do próximo mês.	3476
hang on	wait a short time (informal)	esperar um curto período de tempo ( informal )	Hang on while I grab my coat and shoes!	Espere enquanto pego meu casaco e sapatos!	3477
hang on	To keep something	manter alguma coisa	When everyone else was getting fired, Paul managed to hang on to his job.	Quando todo mundo estava sendo demitido, Paul conseguiu manter seu trabalho.	3478
hang on	When you hold something, often for support of comfort.	Quando você segura algo, geralmente para apoiar o conforto.	Could you hang on for a moment till she's free.	Você poderia aguentar por um momento até que ela esteja livre.	3479
hang on	wait a short time (informal)		Hang on while I grab my coat and shoes!	Espere enquanto pego meu casaco e sapatos!	3480
hang on	Wait.	esperar	Could you hang on for a moment till she's free.	Você poderia aguentar por um momento até que ela esteja livre.	3481
hang on	Hold tightly.	Segurar firmemente.	The driver told the passengers to hang on as the bus pulled off.	O motorista disse aos passageiros para aguentar enquanto o ônibus saiu.	3482
hang on	When you hold something, often for support of comfort.	Quando você segura algo, geralmente para apoiar o conforto.	Could you hang on for a moment till she's free.	Você poderia aguentar por um momento até que ela esteja livre.	3483
hang on	Wait a moment (usually imperative)	Esperar um momento (geralmente imperativo)			3484
hang on	Hold, grasp, or grip	Segurar, agarrar			3485
hang on	Keep; to store something for someone	Manter; guardar algo para alguém			3486
hang on	Pay close attention	Prestar muita atenção			3487
hang on	Continually believe in something; to have faith in	Acreditar continuamente em algo; ter fé em			3488
hang on	Persevere	Perseverar			3489
hang onto	Keep.	Guardar, manter.	I hung onto my old records even though I never played them.	pendurado em meus antigos registros, embora nunca tivesse jogado.	3490
hang out	spend time relaxing	gastar um tempo relaxando	Instead of going to the party we are just going to hang out at my place.	Em vez de ir à festa, vamos sair na minha casa.	3491
hang out	To spend time with someone, casually	tempo com alguém, casualmente	My friends and I used to hang out in the park after school.	Meus amigos e eu costumávamos sair no parque depois da escola.	3492
hang out	To hang something, usually wet clothes, to dry.	Pendurar algo, geralmente roupas molhadas, para secar.	He hangs out in the pub The Monarch; he's there most nights.	Ele sai no pub o monarca; Ele tem a maioria das noites.	3493
hang out	spend time relaxing		Instead of going to the party we are just going to hang out at my place.	Em vez de ir à festa, vamos sair na minha casa.	3494
hang out	Spend time socially.	Passar tempo socialmente.	He hangs out in the pub The Monarch; he's there most nights.	Ele sai no pub o monarca; Ele tem a maioria das noites.	3495
hang out	To hang something, usually wet clothes, to dry.	Pendurar algo, geralmente roupas molhadas, para secar.	He hangs out in the pub The Monarch; he's there most nights.	Ele sai no pub o monarca; Ele tem a maioria das noites.	3496
hang out	Spend time doing nothing in particular	Gastar tempo sem fazer nada em particular			3497
hang out	Be unyielding; to hold out	Ser inflexível; aguentar			3498
hang out	Dry clothes outside after washing	Secar as roupas ao ar livre após a lavagem			3499
hang out	Spend time relaxing, usually with friends	Passar algum tempo relaxando, geralmente com amigos			3500
hang out for	Wait or refuse to do something until you get what you want.	Esperar ou recusar-se a fazer alguma coisa até conseguir o que quer.	She's hanging out for a big raise.	Ela está saindo por um grande aumento.	3501
hang over	Worry or trouble.	Preocupação ou problema.	I have a lot of financial problem hanging over my head.	tenho muito problema financeiro pendurado na minha cabeça.	3502
hang over	Be threatening, to be imminent	Ser ameaçador, ser iminente			3503
hang together	Work together when things are difficult.	Trabalhar juntos quando as coisas são difíceis.	We have to hang together if we're going to finish this project.	Temos que ficar juntos se vamos terminar este projeto.	3504
hang together	Be self-consistent	Ser autoconsistente			3505
hang up	to end a phone call; if you hang up, or you hang up the phone, you end a phone call. If you hang up on someone to whom you are speaking on the phone, you end the phone call suddenly and unexpectedly; to put clothing on a hook or hanger	terminar uma chamada telefônica quando ainda está falando, termina o telefonema de repente; colocar a roupa em um gancho ou cabide	My mom always hangs up my clothing for me.	Minha mãe sempre pendura minha roupa para mim.	3506
hang up	to end a phone call; if you hang up, or you hang up the phone, you end a phone call. If you hang up on someone to whom you are speaking on the phone, you end the phone call suddenly and unexpectedly; to put clothing on a hook or hanger	terminar uma chamada telefônica quando ainda está falando, termina o telefonema de repente; colocar a roupa em um gancho ou cabide	The women hung up their coats and sat down.	As mulheres penduraram os casacos e sentaram-se.	3507
hang up	to end a phone call; if you hang up, or you hang up the phone, you end a phone call. If you hang up on someone to whom you are speaking on the phone, you end the phone call suddenly and unexpectedly; to put clothing on a hook or hanger	terminar uma chamada telefônica quando ainda está falando, termina o telefonema de repente; colocar a roupa em um gancho ou cabide	She hung up on him because she was mad.	Ela desligou-o porque estava zangada.	3508
hang up	end a phone call	encerrar uma ligação	He didn't say goodbye before he hung up.	Ele não se despediu antes de desligar.	3509
hang up	stop using a phone	desligar	hang up the phone	desligar o telefone	3510
hang up	To end a phone call, especially if before the other person is ready	terminar um telefonema, especialmente se antes que a outra pessoa esteja pronta	I was in the middle of a sentence, and he hung up on me! How rude.	Eu estava no meio de uma frase, e ele desligou-me! Que rude.	3511
hang up	To hang clothes or an object on a hook, hanger or rod.	Pendure roupas ou objetos em um gancho, cabide ou haste.	I lost my temper and hung up.	Temos que ficar juntos se vamos terminar este projeto.	3512
hang up	end a phone call		He didn't say goodbye before he hung up.	Ele não se despediu antes de desligar.	3513
hang up	stop using a phone		hang up the phone	desligar o telefone	3514
hang up	End a phone call.	Terminar uma ligação.	I lost my temper and hung up.	Temos que ficar juntos se vamos terminar este projeto.	3515
hang up	To hang clothes or an object on a hook, hanger or rod.	Pendure roupas ou objetos em um gancho, cabide ou haste.	I lost my temper and hung up.	Temos que ficar juntos se vamos terminar este projeto.	3516
hang up	Put up to hang	Colocar para pendurar			3517
hang up	Terminate a telephone call 	Encerrar uma chamada telefônica			3518
hang up	End a telephone call by breaking the connection	Encerrar uma chamada telefônica interrompendo a conexão			3519
hang up	Put something on a hook or a hanger	Colocar algo em um gancho ou cabide			3520
hang up	Put your clothes on a hanger to hang in the closet	Colocar suas roupas em um cabide para pendurar no armário			3521
hang up on	End a phone call with someone.	Terminar um telefonema com alguém.	a telesales person called, so I said something rude and hung up on them.	Uma pessoa de televendas ligou, então eu disse algo rude e desligado sobre eles.	3522
hang with	Spend time with.	Passar o tempo com.	He has been hanging with them for a few months.	Ele tem pendurado com eles por alguns meses.	3523
hangon	Wait for a short time (informal)	Esperar um pouco (informal)			3524
hanker after	Want something a lot, especially if you shouldn't want it or can't have it.	Querer muito, especialmente se você não deveria querer ou não pode ter.	I'm supposed to be on a diet and I can't stop hankering after some chocolate.	deveria estar em uma dieta e não consigo parar de desejo de um pouco de chocolate.	3525
hanker for	Want something a lot, especially if you shouldn't want it or can't have it.	Quer muito, especialmente se você não deveria querer ou não pode ter.	I have always hankered for a soft-top car.	sempre toquei para um carro de topo.	3526
harp on	Talk repeatedly about something.	Falar repetidamente sobre algo.	I was late twice last week and my boss keeps harping on about it.	estava atrasado duas vezes na semana passada e meu chefe continua arrastando sobre isso.	3527
hash out	Work through the details of something; especially to work through difficulties	Trabalhar nos detalhes de algo; especialmente para superar dificuldades			3528
hate on	Be jealous, abuse or have an active hatred of someone.	Ser ciumento, abusivo ou ter um ódio ativo de alguém.	She hates on people who disagree with her ideas.	Ela odeia pessoas que discordam de suas idéias.	3529
have against	Dislike, disagree or hold a grudge (Usually negative).	Antipatia, discordar ou segurar um rancor (geralmente negativo).	I have nothing against their proposals.	não tenho nada contra suas propostas.	3530
have around	Entertain someone in your home.	Entreter alguém em sua casa.	I had the neighbours around for dinner last night.	tinha os vizinhos ao jantar no jantar ontem à noite.	3531
have down as	Think of someone or something in a particular way.	Pensar em alguém ou algo de uma maneira particular.	I had her down as a liberal, but I was very wrong.	a tive como liberal, mas eu estava muito errado.	3532
have in	Have a supply of something in a particular place.	Ter um suprimento de algo em um lugar particular.	Do we have any beer in?	Nós temos alguma cerveja?	3533
have in	Get someone to do some work.	Pegar alguém para fazer algum trabalho.	We had the decorators in last week.	Tivemos os decoradores na semana passada.	3534
have in	Entertain people in your home.	Entreter as pessoas em sua casa.	We had them in last night for dinner.	Nós os tínhamos na noite passada para o jantar.	3535
have it away	Have sex with someone, especially casual sex.	Fazer sexo com alguém, especialmente sexo casual.	She had it away with him last Friday.	Ela teve fora com ele na sexta-feira passada.	3536
have it in for	Hold a grudge.	Segurar um rancor.	He has had it in for me since I beat him last year.	Ele teve para mim desde que eu o vencesse no ano passado.	3537
have it off	Have sex.	Fazer sexo.	They had it off after the party.	Eles tinham isso depois da festa.	3538
have it out with	Discuss or argue an issue to improve a situation.	Discutir ou argumentar um problema para melhorar uma situação.	I'd been worried for ages, so I decided to have it out with them.	estava preocupado com as idades, então decidi fazer com eles.	3539
have off	Take time off work.	Tirar um tempo de folga.	I had a couple of days off last week to relax.	tive alguns dias na semana passada para relaxar.	3540
have on	To wear clothing, cosmetics, perfume, etc.	Usar roupas, cosméticos, perfumes, etc.	What did Jennie have on at the party?	O que Jennie tem na festa?	3541
have on	Be wearing.	estar usando, estar vestindo.	What did Jennie have on at the party?	O que Jennie tem na festa?	3542
have on	Have an electronic device switched on.	Ter um dispositivo eletrônico ligado.	I have my computer on all the time.	tenho meu computador o tempo todo.	3543
have on	Have an arrangement.	Ter um arranjo.	I have a lot of meetings on next week.	tenho muitas reuniões na próxima semana.	3544
have on	Tease, deceive.	Provocar, enganar.	They said they'd failed, but they were having me on.	Eles disseram que falharam, mas estavam me tendo.	3545
have on	Be in possession at a particular time.	Estar em posse em um determinado momento.	I haven't any money on me, but I can get some from the atm.	não tenho dinheiro em mim, mas posso pegar alguns do caixa eletrônico.	3546
have on	Know something about someone that could harm them.	Saber algo sobre alguém que poderia prejudicá-los.	I have a lot on him because we used to work together.	tenho muito sobre ele porque costumávamos trabalhar juntos.	3547
have on	To wear clothing, cosmetics, perfume, etc.	Usar roupas, cosméticos, perfumes, etc.	What did Jennie have on at the party?	O que Jennie tem na festa?	3548
have on	Wear an item of clothing on one's person	Usar uma peça de roupa consigo			3549
have over	Receive a guest.	Receber um convidado.	Shall we have them over for dinner?	Vamos tê-los para o jantar?	3550
have round	Entertain someone in your home.	Entreter alguém em sua casa.	I had a few friends round yesterday.	tive alguns amigos ontem.	3551
have up	Make someone appear in court.	Fazer alguém aparecer no tribunal.	They had him up for armed robbery.	Eles o fizeram para assalto à mão armada.	3552
head back	To go to a place where you’ve been before or where you started from.	Ir a um lugar onde você esteve antes ou de onde começou.	Let's head back home before the storm hits.	Vamos voltar para casa antes que a tempestade chegue.	3553
head for	When a situation becomes more likely.	Quando uma situação se torna mais provável.	It's getting late- I'm heading for home.	Está ficando tarde - estou indo para casa.	3554
head for	Move or travel towards.	Mover ou viajar para.	It's getting late- I'm heading for home.	Está ficando tarde - estou indo para casa.	3555
head for	When a situation becomes more likely.	Quando uma situação se torna mais provável.	It's getting late- I'm heading for home.	Está ficando tarde - estou indo para casa.	3556
head off	Stop someone or force them to change direction.	Parar alguém ou forçá-los a mudar de direção.	The sheriff and his men headed the bandits off at the pass.	O xerife e seus homens dirigiram os bandidos no passe.	3557
head off	Prevent something bad happening.	Impedir algo ruim de acontecer.	The company made a better offer to head off the moves for a strike.	A empresa fez uma melhor oferta para sair dos movimentos para uma greve.	3558
head off	Leave somewhere to go to another place.	Deixar algum lugar para ir para outro lugar.	After work, we all headed off to the pub.	Depois do trabalho, todos nós fomos para o pub.	3559
head off	Begin moving away	Começar a se afastar			3560
head off	Intercept	Interceptar			3561
head off	Avoid some usually negative consequence	Evitar algumas consequências geralmente negativas			3562
head out	Go out.	sair	We're heading out at seven, so don't be late.	Estamos indo em sete, então não se atrase.	3563
head toward	To move in the direction where someone or something is.	Se mover na direção em que alguém ou algo está.	Yes, I see you, and I'm heading towards you		3564
head up	Be in charge.	Estar no comando.	He's heading up the steering committee.	Ele está indo para o comitê de direção.	3565
hear about	When you learn details about something or someone.	Quando você aprende detalhes sobre algo ou alguém.	Have you heard about the company takeover?	Você já ouviu falar sobre a empresa de aquisição?	3566
hear about	Get to know some information.	obter algumas informações.	Have you heard about the company takeover?	Você já ouviu falar sobre a empresa de aquisição?	3567
hear about	When you learn details about something or someone.	Quando você aprende detalhes sobre algo ou alguém.	Have you heard about the company takeover?	Você já ouviu falar sobre a empresa de aquisição?	3568
hear from	Receive a phone call, email, letter or other communication from someone.	Receber uma chamada telefônica, e-mail, carta ou outra comunicação de alguém.	I haven't heard from them since we left university.	não ouvi deles desde que deixamos a universidade.	3569
hear of	When you learn about something or someone.	Quando você aprende sobre algo ou alguém.	I've heard of the band, but don't know their music.	ouvi falar da banda, mas não sei a música deles.	3570
hear of	Know of something or someone's existence.	Saber de algo ou existência de alguém.	I've heard of the band, but don't know their music.	ouvi falar da banda, mas não sei a música deles.	3571
hear of	Receive news, updates or information about someone.	Receber notícias, atualizações ou informações sobre alguém.	I have heard nothing of them since they moved house.	não ouvi nada deles desde que eles se moviam.	3572
hear of	In the negative, this can mean that someone refuse to accept, allow or acknowledge something.	No sentido negativo, isso pode significar que alguém se recusou a aceitar, permitiu ou reconheceu algo.	I said it would be a positive step, but she wouldn't hear of it.	disse que seria um passo positivo, mas ela não ouviu falar disso.	3573
hear of	When you learn about something or someone.	Quando você aprende sobre algo ou alguém.	I've heard of the band, but don't know their music.	ouvi falar da banda, mas não sei a música deles.	3574
hear out	Listen to everything someone has to say.	Ouvir tudo o que alguém tem a dizer.	I heard them out before I commented.	os ouvi antes de comentar.	3575
heat up	To make something warmer or cause a rise in temperature.	Tornar algo mais quente ou causar um aumento de temperatura.	He heated the soup up in the microwave.	Ele aqueceu a sopa no microondas.	3576
